VQ1s,,,VQ2s,,,VQ3s,,,VQ4s,,,VQ5s,,,VQ6s,,,VQ7s,,,RQ1s,,,RQ2s,,,RQ3s,,,RQ4s,,,RQ5s,,,RQ6s,,,MQ1s,,,MQ2s,,,MQ3s,,,MQ4s,,,MQ5s,,,MQ6s,,,,,,
1,,,1,,,1,,,1,,,-1,,,1,,,1,,,1,,,1,,,1,,,3,,,2,,,4,,,4,,,2,,,3,,,3,,,5,,,3,,,,37,,
3,,,3,,,1,,,2,,,1,,,3,,,2,,,1,,,-1,,,1,,,1,,,1,,,1,,,4,,,2,,,4,,,5,,,5,,,2,,,,41,,
4,,,3,,,4,,,2,,,3,,,4,,,5,,,2,,,5,,,4,,,4,,,4,,,5,,,4,,,3,,,4,,,5,,,4,,,3,,,,72,,
4,,,0,,,1,,,2,,,3,,,3,,,1,,,1,,,3,,,0,,,2,,,1,,,3,,,4,,,3,,,3,,,4,,,4,,,4,,,,46,,
4,,,1,,,3,,,2,,,3,,,4,,,3,,,2,,,4,,,4,,,2,,,4,,,5,,,4,,,3,,,4,,,4,,,5,,,5,,,,66,,
3,,,2,,,3,,,2,,,1,,,3,,,2,,,0,,,4,,,1,,,3,,,4,,,4,,,4,,,3,,,4,,,5,,,4,,,2,,,,54,,
4,,,1,,,3,,,2,,,3,,,4,,,3,,,3,,,5,,,3,,,3,,,4,,,5,,,4,,,3,,,4,,,5,,,4,,,4,,,,67,,
4,,,1,,,3,,,2,,,3,,,3,,,4,,,2,,,4,,,3,,,4,,,3,,,3,,,4,,,3,,,2,,,2,,,4,,,2,,,,56,,
4,,,0,,,2,,,2,,,4,,,3,,,1,,,3,,,4,,,4,,,4,,,4,,,5,,,3,,,2,,,4,,,3,,,4,,,5,,,,61,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,4,,,1,,,3,,,3,,,1,,,1,,,,26,,
3,,,2,,,3,,,3,,,4,,,4,,,2,,,2,,,4,,,4,,,3,,,4,,,5,,,4,,,3,,,3,,,4,,,5,,,5,,,,67,,
4,,,3,,,3,,,1,,,2,,,3,,,1,,,3,,,3,,,4,,,4,,,4,,,5,,,4,,,3,,,4,,,5,,,4,,,3,,,,63,,
4,,,2,,,3,,,2,,,3,,,3,,,2,,,3,,,5,,,4,,,5,,,4,,,5,,,4,,,3,,,4,,,5,,,4,,,4,,,,69,,
3,,,0,,,3,,,1,,,2,,,2,,,3,,,2,,,4,,,3,,,4,,,3,,,4,,,4,,,3,,,4,,,5,,,5,,,5,,,,60,,
4,,,2,,,3,,,2,,,4,,,4,,,3,,,0,,,1,,,3,,,2,,,2,,,3,,,3,,,3,,,4,,,5,,,5,,,1,,,,54,,
